prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0483.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0483.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0483.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0483.fp2.repr,z1,b_bx,0,0,0,0,0,0,1e-5,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0483.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0483.fp2.repr,z1,pure_b,1,1,1,1,1,0.99999,1,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
uniform,COPE_0483.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0483.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0483.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0483.fp2.repr,z1,b_bx,0,0,0,0,0,1e-5,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
Jeffreys,COPE_0484.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0484.fp2.repr,z1,pure_b,0.99919,0.99998,0.99992,0.99998,0.99998,0.99987,0.99999,0.99944,0.99973,0.99999,0.999807,2.7785087926999796e-4,2.7790451484136235e-4
Jeffreys,COPE_0484.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0484.fp2.repr,z1,F2,1e-5,0,0,0,0,0,0,1e-5,0,0,2.0000000000000003e-6,4.216370213557839e-6,2.1081851067789192
Jeffreys,COPE_0484.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0484.fp2.repr,z1,b_bx,8e-4,2e-5,8e-5,2e-5,2e-5,1.3e-4,1e-5,5.6e-4,2.7e-4,1e-5,1.92e-4,2.753906316489361e-4,1.4343262065048754
uniform,COPE_0484.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0484.fp2.repr,z1,pure_b,0.99962,0.99994,0.99995,0.99987,1,1,0.99994,0.99999,0.99913,1,0.999844,2.7580991844225504e-4,2.7585295150268945e-4
