Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0735.fp2.repr,z1,0,0.9999974,0,0,0,2.6e-6
COPE_0736.fp2.repr,NA,0,0.9946702984010896,0,6.8000020400006115e-6,0,0.005322901596870479
COPE_0737.fp2.repr,z1,0,0.9999986,0,0,0,1.4000000000000001e-6
COPE_0738.fp2.repr,z1,0,0.9999201,0,6e-7,0,7.93e-5
COPE_0739.fp2.repr,z1,0,0.9999981,0,0,0,1.9e-6
COPE_0740.fp2.repr,NA,3.770004147004561e-5,0.9675077642585407,4.7500052250057473e-05,0.007956008751609627,4.3500047850052635e-5,0.024407526848279532
COPE_0741.fp2.repr,NA,0,0.9999314,0,0,0,6.86e-5
COPE_0742.fp2.repr,NA,0,0.9999822,0,0,0,1.7800000000000002e-5
COPE_0743.fp2.repr,z1,0,0.9999767,0,5e-7,0,2.2800000000000002e-5
COPE_0744.fp2.repr,z1,0,0.99998809999881,0,2.0000002000000202e-7,0,1.1700001170000118e-5
COPE_0745.fp2.repr,NA,0.06377453826472296,0.5703652422191453,6.120003672002203e-5,0.33654730192838117,0.008652105191263115,0.020599612359767417
COPE_0746.fp2.repr,z1,0,0.9999979,0,0,0,2.1000000000000002e-6
COPE_0747.fp2.repr,NA,0,0.9999197,0,2.0000000000000002e-7,0,8.01e-5
COPE_0748.fp2.repr,z1,0,0.9999987,0,0,0,1.3e-6
COPE_0749.fp2.repr,z1,0,0.9999291000070899,0,6.99999930000007e-7,0,7.01999929800007e-5
COPE_0750.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0751.fp2.repr,NA,0,0.9999731,0,0,0,2.69e-5
COPE_0752.fp2.repr,z1,0,0.9999969,0,0,0,3.1000000000000004e-6
COPE_0753.fp2.repr,z1,0,0.99967439996744,0,1.3000001300000128e-6,0,3.243000324300032e-4
COPE_0754.fp2.repr,z1,0,0.9999773,0,0,0,2.27e-5
COPE_0755.fp2.repr,NA,0,0.9999913,0,0,0,8.7e-6
COPE_0756.fp2.repr,z1,0,0.9999899,0,0,0,1.01e-5
COPE_0757.fp2.repr,z1,0,0.9987991,0,1.0300000000000001e-5,0,0.0011906
COPE_0758.fp2.repr,z1,0,0.9999949,0,0,0,5.1e-6
COPE_0759.fp2.repr,z1,0,0.999993,0,0,0,7.000000000000001e-6
COPE_0760.fp2.repr,z1,0,0.999988,0,0,0,1.2e-5
COPE_0761.fp2.repr,z1,0,0.9999634999927,0,5.000001000000199e-7,0,3.600000720000144e-5
COPE_0762.fp2.repr,z1,0,0.99984469998447,0,1.0000001000000101e-7,0,1.5520001552000158e-4
COPE_0763.fp2.repr,z0,0.9999951,0,0,0,4.9000000000000005e-6,0
