Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
COPE-0671.fp2_r1_screen	2200.0	455.0	548.0	190.0	144.0	47.0	11.0	3.0	0.0	7238.0	1021092.0
COPE-0671.fp2_r2_screen	3120.0	5124.0	655.0	897.0	293.0	50.0	31.0	4.0	0.0	17276.0	1004478.0
COPE-0672.fp2_r1_screen	1012.0	119.0	173.0	60.0	67.0	35.0	34.0	1.0	0.0	3545.0	433660.0
COPE-0672.fp2_r2_screen	1397.0	398.0	257.0	233.0	76.0	8.0	10.0	1.0	0.0	3368.0	432958.0
COPE-0673.fp2_r1_screen	2445.0	574.0	947.0	134.0	187.0	26.0	16.0	6.0	0.0	9171.0	1408154.0
COPE-0673.fp2_r2_screen	3479.0	3001.0	911.0	872.0	241.0	14.0	19.0	18.0	0.0	38787.0	1374318.0
COPE-0674.fp2_r1_screen	8518.0	775.0	1250.0	399.0	794.0	621.0	221.0	6.0	0.0	24919.0	3828770.0
COPE-0674.fp2_r2_screen	9453.0	3369.0	1784.0	1519.0	898.0	324.0	56.0	8.0	0.0	22025.0	3826837.0
COPE-0675.fp2_r1_screen	17722.0	3513.0	11621.0	1574.0	1184.0	476.0	147.0	52.0	0.0	60200.0	8675210.0
COPE-0675.fp2_r2_screen	19906.0	21767.0	10929.0	4990.0	2990.0	209.0	88.0	17.0	1.0	188220.0	8522582.0
COPE-0676.fp2_r1_screen	3539.0	348.0	900.0	279.0	221.0	245.0	58.0	7.0	0.0	15143.0	1814653.0
COPE-0676.fp2_r2_screen	4716.0	2111.0	1189.0	1017.0	618.0	262.0	25.0	5.0	0.0	14835.0	1810615.0
COPE-0677.fp2_r1_screen	14296.0	1772.0	1055.0	463.0	828.0	908.0	130.0	32.0	10.0	32422.0	5653136.0
COPE-0677.fp2_r2_screen	16295.0	3993.0	1556.0	1034.0	1499.0	1104.0	251.0	6.0	1.0	18190.0	5661123.0
COPE-0678.fp2_r1_screen	1933.0	161.0	380.0	60.0	161.0	83.0	18.0	2.0	1.0	6504.0	836384.0
COPE-0678.fp2_r2_screen	1881.0	1058.0	631.0	510.0	206.0	148.0	7.0	0.0	0.0	5539.0	835707.0
COPE-0679.fp2_r1_screen	1326.0	254.0	569.0	167.0	116.0	9.0	25.0	1.0	0.0	5075.0	690768.0
COPE-0679.fp2_r2_screen	1564.0	1991.0	519.0	312.0	219.0	31.0	10.0	2.0	0.0	13229.0	680433.0
COPE-0680.fp2_r1_screen	5077.0	518.0	1569.0	87.0	437.0	122.0	124.0	3.0	0.0	15337.0	1900121.0
COPE-0680.fp2_r2_screen	6534.0	1523.0	1942.0	513.0	472.0	353.0	20.0	18.0	0.0	11706.0	1900314.0
COPE-0681.fp2_r1_screen	865.0	134.0	747.0	195.0	159.0	15.0	50.0	0.0	0.0	5162.0	710941.0
